UDI,Machine_Age_Years,Operating_Hours,Days_Since_Last_Maintenance,Maintenance_Count_Last_Year,Energy_Consumption_kWh,Vibration_Level_mm_s,Humidity_Percent,Ambient_Dust_Level_ug_m3,Maintenance_Cost_USD
2436,4,6168,317,2,56.82,1.82,60.8,28.5,577.6
2437,4,7638,296,2,46.2,2.69,72.2,36.5,306.29
2438,6,9054,276,5,54.71,2.31,30.0,12.0,915.94
2439,8,11539,296,5,66.12,2.63,67.0,53.2,932.06
2440,6,12410,259,4,55.74,2.83,83.5,41.1,756.8
2441,6,8101,302,3,67.65,3.41,75.7,45.5,646.39
2442,7,12233,274,4,48.96,2.51,64.3,26.7,634.69
2443,5,11792,286,4,61.73,2.35,69.7,30.3,600.9
2444,8,13958,283,4,56.6,3.67,44.8,38.2,775.64
2445,8,11023,322,5,72.7,4.9,57.9,32.8,1042.32
2446,11,14788,283,7,75.25,2.68,53.2,43.2,1249.63
2447,7,11008,268,4,64.22,3.26,49.4,35.9,806.82
2448,7,12462,242,6,59.1,2.95,66.9,24.2,1005.59
2449,9,15054,285,7,53.9,3.04,52.6,43.7,1206.79
2450,9,12897,250,7,50.83,4.51,32.7,43.1,1215.2
2451,7,11186,210,4,57.83,2.78,60.3,28.4,678.56
2452,7,11368,248,5,48.36,2.61,54.7,23.4,864.59
2453,9,14804,257,6,47.51,3.99,63.3,38.8,1039.07
2454,7,15787,223,4,46.79,3.26,50.1,27.2,754.29
2455,7,11500,241,4,52.03,3.66,34.3,36.2,692.15
2456,8,12725,240,5,56.64,3.87,43.3,29.7,1101.63
2457,10,14980,239,9,66.92,2.73,44.0,52.0,1309.34
2458,7,14123,275,5,52.84,4.22,42.7,28.5,712.55
2459,6,11998,196,5,64.98,3.42,48.2,24.8,882.7
2460,6,10806,294,4,70.2,4.7,63.7,32.2,802.39
2461,7,12896,230,7,55.14,3.4,38.4,21.2,1280.67
2462,7,12343,246,5,52.83,4.63,65.6,27.1,853.84
2463,9,16509,228,6,45.6,4.8,39.8,24.8,1080.42
2464,7,17782,170,3,61.14,3.73,50.4,35.7,690.12
2465,8,15871,188,7,71.35,3.93,54.6,43.4,1300.09
2466,8,15041,200,7,64.17,3.94,51.4,32.6,1028.96
2467,9,15473,244,5,55.59,4.91,62.5,48.0,979.34
2468,11,16945,170,8,53.28,4.29,53.7,35.2,1464.02
2469,11,20196,182,6,57.46,4.54,53.1,38.3,1126.61
2470,10,19049,209,7,61.65,4.28,30.0,47.2,1283.35
2471,9,16221,216,6,63.31,4.64,59.8,43.7,1018.77
2472,9,18830,213,8,65.82,4.72,77.5,41.7,1442.1
2473,10,18332,167,7,65.51,4.2,49.1,48.9,1063.64
2474,11,20752,147,8,60.17,5.44,62.9,41.6,1373.99
2475,9,17769,207,8,58.34,4.52,45.1,40.4,1376.86
2476,10,18349,232,7,62.66,5.19,66.8,34.6,1211.18
2477,7,13673,176,5,64.89,4.09,61.2,49.4,965.43
2478,11,19912,146,6,64.2,5.19,50.6,38.4,1166.99
2479,12,22683,165,8,65.36,5.43,49.8,42.3,1470.12
2480,11,19593,186,9,53.09,5.11,62.7,43.7,1576.5
2481,14,24705,165,10,52.53,5.56,55.5,53.3,1754.76
2482,10,17711,212,6,58.11,4.72,40.2,45.3,954.47
2483,12,22995,195,10,56.54,5.36,36.7,22.3,1855.24
2484,11,21184,170,8,60.36,4.41,62.1,56.1,1536.73
2485,11,19047,102,8,60.91,5.32,45.8,54.9,1472.37
2486,12,21939,134,9,57.73,4.98,55.4,54.0,1523.74
2487,12,23762,136,9,53.68,5.39,62.1,45.2,1604.71
2488,13,21811,127,7,42.61,6.19,40.6,56.0,1187.35
2489,14,23519,149,10,75.71,6.49,42.8,50.1,1603.72
2490,12,22711,147,6,57.9,5.03,74.5,46.0,1441.0
2491,14,28640,84,10,74.15,6.42,50.1,53.6,1636.03
2492,12,22256,153,9,64.48,6.62,67.2,48.3,1529.66
2493,14,26498,127,10,72.22,6.14,85.1,56.2,1774.43
2494,12,23970,131,9,72.62,6.78,57.9,26.8,1594.49
2495,15,26431,139,11,71.01,7.97,44.7,49.3,1919.92
2496,15,27647,91,10,58.12,5.97,56.5,40.2,1763.05
2497,13,24468,148,9,55.3,6.05,52.7,53.4,1589.84
2498,10,21138,103,8,66.04,6.73,55.8,32.7,1473.66
2499,13,22918,149,11,61.8,6.4,63.6,43.7,1903.84
2500,15,27863,74,11,61.54,6.14,65.0,57.5,1988.2
2501,15,29384,141,9,50.34,6.24,30.9,60.5,1486.13
2502,15,28211,68,10,56.79,6.63,69.3,57.1,1852.6
2503,15,29896,168,11,63.26,8.28,58.3,56.0,1932.7
2504,4,5670,336,3,72.46,1.33,48.1,18.5,456.45
2505,5,6001,365,2,68.1,1.65,63.8,21.9,624.15
2506,5,5238,349,5,65.81,1.59,42.4,19.3,653.15
2507,6,6741,365,3,51.04,2.61,43.0,23.6,596.58
2508,4,2999,353,3,60.78,1.43,67.7,29.3,638.2
2509,5,6229,315,1,49.93,2.2,55.8,38.0,335.59
2510,3,4539,262,3,63.92,1.49,73.8,34.0,283.81
2511,3,6983,365,1,70.95,1.31,46.8,11.2,384.09
2512,7,10092,343,3,63.62,1.56,58.5,33.7,469.78
2513,4,4538,249,2,58.42,1.66,59.6,25.8,280.32
2514,5,4966,344,4,48.57,1.56,59.9,11.5,776.67
2515,5,6905,353,3,48.38,1.13,62.4,36.6,463.63
2516,4,7323,309,1,48.47,1.24,60.5,34.4,254.4
2517,5,7064,307,2,58.12,2.34,55.2,25.1,342.54
2518,7,10698,325,5,57.14,2.24,31.7,31.5,887.19
2519,6,8503,359,3,63.16,2.76,65.4,33.2,719.69
2520,2,5186,322,2,57.69,1.75,30.0,27.3,162.16
2521,5,5404,361,4,56.61,1.76,40.2,24.8,704.3
2522,8,13896,349,1,53.62,1.48,46.5,29.1,267.85
2523,5,6311,305,4,44.34,2.63,65.8,21.3,889.98
2524,3,6906,261,1,54.59,1.73,52.3,37.9,147.83
2525,8,11397,299,4,65.61,2.21,77.5,45.8,856.22
2526,7,10566,318,6,52.43,2.46,38.4,25.3,1029.29
2527,6,9313,301,5,56.81,1.59,41.8,24.8,853.52
2528,5,8948,316,4,67.39,2.81,30.0,21.5,636.07
2529,8,12941,320,5,54.7,2.98,41.2,24.1,783.08
2530,5,10333,308,4,50.22,2.66,47.4,45.6,827.36
2531,8,14592,280,6,66.89,2.56,72.6,30.1,945.66
2532,7,11868,301,6,50.13,2.63,67.5,40.1,988.18
2533,7,14076,349,4,60.78,3.43,57.9,31.3,725.34
2534,7,11734,235,4,50.48,2.8,51.3,32.2,858.3
2535,6,12101,292,4,54.68,2.81,64.2,29.7,947.43
2536,8,13618,330,5,53.86,2.53,70.3,38.9,851.84
2537,6,9841,237,4,65.61,1.53,47.2,30.5,733.93
2538,5,9827,300,2,60.21,3.52,48.4,36.0,547.52
2539,8,14135,298,5,66.66,3.1,49.8,45.2,1053.11
2540,8,13422,217,4,69.03,2.71,34.2,31.0,784.49
2541,8,14179,281,5,39.51,4.26,69.5,37.6,908.28
2542,8,14948,249,5,52.4,3.47,48.0,22.9,1048.34
2543,7,12640,249,5,55.31,3.27,51.5,29.8,695.42
2544,9,10884,235,7,45.37,4.01,72.5,38.1,1291.16
2545,8,16707,282,6,51.16,3.73,48.5,34.4,960.08
2546,7,12634,237,7,61.67,3.77,70.2,33.1,1134.9
2547,8,13180,223,5,53.56,3.37,34.0,40.1,926.25
2548,11,16419,221,7,54.7,4.07,61.7,47.8,1219.29
2549,6,11690,222,5,60.03,4.25,49.7,15.0,871.08
2550,9,15086,196,6,62.88,3.55,36.0,39.5,1044.2
2551,6,11314,212,3,63.74,2.95,41.4,29.5,701.18
2552,9,15087,227,5,59.65,4.43,56.7,34.1,883.35
2553,8,15795,233,6,64.71,4.31,43.5,47.2,935.37
2554,6,15871,251,3,58.1,4.55,59.6,17.9,611.09
2555,10,18946,220,6,58.6,4.2,46.1,39.6,1112.73
2556,9,18289,196,5,58.76,4.71,35.6,49.5,1111.1
2557,6,12529,177,4,62.54,3.95,66.6,32.6,717.43
2558,11,19387,213,8,72.54,4.26,58.5,34.4,1399.87
2559,12,21205,197,7,44.57,3.9,33.4,42.3,1199.09
2560,12,19711,194,9,66.41,5.08,62.8,58.2,1579.24
2561,11,18951,202,7,79.53,4.53,56.5,51.4,1165.79
2562,10,19807,207,6,47.35,4.74,49.8,35.9,1101.22
2563,12,22650,197,8,62.81,4.89,50.3,56.3,1348.3
2564,13,22406,181,8,56.87,4.61,71.1,51.1,1531.38
2565,12,19402,160,7,63.22,5.19,58.8,23.7,1309.11
2566,9,17242,163,6,68.07,5.65,71.7,37.2,1195.02
2567,11,18013,204,6,57.93,5.36,60.7,56.6,1059.61
2568,12,21623,163,8,49.79,4.09,57.8,42.7,1443.78
2569,8,17183,133,3,61.88,5.05,45.9,48.2,692.37
2570,12,21284,205,9,58.54,5.13,56.9,32.5,1544.65
2571,15,25878,136,10,49.97,5.8,67.3,39.5,1907.65
2572,12,22630,163,10,58.58,4.95,56.0,53.1,1671.94
2573,14,24925,173,11,59.53,4.78,78.2,54.8,1774.49
2574,12,20473,155,9,60.78,5.79,67.2,43.8,1598.93
2575,12,21985,78,8,41.28,5.42,40.6,51.0,1617.78
2576,13,24270,162,11,63.7,5.16,49.2,41.3,1770.53
2577,11,23713,188,7,55.13,5.39,63.1,33.0,1271.69
2578,11,21027,169,6,56.39,4.87,36.7,45.1,1179.08
2579,14,25951,79,11,66.83,5.71,53.6,45.7,1972.7
2580,14,26532,204,10,49.29,5.52,43.8,51.3,1833.73
2581,11,21410,98,6,64.02,5.99,55.5,43.7,1171.12
2582,14,27118,103,8,74.05,7.67,43.9,45.3,1476.93
2583,13,26088,157,9,53.32,5.84,67.6,61.1,1551.87
2584,13,26446,145,8,66.11,5.65,48.9,37.7,1526.94
2585,14,26353,131,9,57.02,5.8,63.0,49.2,1567.73
2586,14,29295,109,11,50.7,5.41,37.1,47.3,1740.99
2587,13,23767,163,11,54.37,6.57,51.3,48.5,1816.44
2588,15,30366,119,10,44.34,6.08,39.6,50.4,1747.48
2589,14,27222,71,9,47.72,5.16,69.3,56.6,1601.14
2590,14,28171,152,11,43.52,5.41,45.7,50.5,1932.78
2591,2,1920,365,0,68.5,1.52,54.0,18.8,88.8
2592,6,8557,365,1,73.79,1.03,59.2,23.8,336.17
2593,4,7120,365,0,68.07,1.09,46.0,21.8,50.0
2594,4,3439,365,2,67.0,1.15,40.6,21.5,359.28
2595,1,1450,343,2,56.04,1.52,57.2,27.4,117.72
2596,2,500,350,1,58.95,2.09,31.8,23.3,122.08
2597,6,7653,365,4,53.09,1.62,71.1,35.2,639.11
2598,4,4386,334,3,63.37,1.6,53.4,17.0,520.74
2599,1,1773,365,2,90.59,3.21,37.3,19.5,285.41
2600,6,12575,250,3,49.99,0.78,51.8,35.9,574.5
2601,3,7302,333,2,71.1,1.86,61.9,34.3,245.72
2602,6,6256,330,3,64.92,1.95,45.2,20.1,427.45
2603,4,6939,326,2,57.44,2.27,31.7,40.5,534.65
2604,5,8593,301,1,63.09,2.63,53.5,41.5,235.2
2605,6,8223,351,5,69.55,1.27,64.1,40.1,810.95
2606,4,6732,305,2,58.35,1.62,57.8,38.1,351.64
2607,3,5769,324,2,58.82,2.31,59.8,23.0,446.07
2608,5,5960,311,3,69.73,2.1,66.5,23.6,589.12
2609,7,8923,325,3,66.42,2.87,74.0,34.7,568.29
2610,3,6018,350,2,57.92,2.1,30.0,28.4,411.53
2611,3,5999,311,3,65.1,3.25,39.1,21.0,344.7
2612,7,9812,324,3,46.26,2.4,57.0,38.7,629.89
2613,5,7373,301,4,40.42,3.24,58.3,41.3,379.64
2614,5,8520,279,3,67.16,1.27,36.4,37.2,591.33
2615,3,7719,286,1,52.44,2.79,45.6,26.4,197.53
2616,5,8765,280,5,54.9,2.61,75.7,10.5,777.34
2617,6,12604,303,4,76.3,1.6,50.8,19.7,840.81
2618,8,11616,287,6,54.84,2.69,57.5,35.2,964.99
2619,5,9440,257,4,62.02,2.13,76.5,35.1,609.31
2620,9,13554,271,4,62.57,2.57,56.1,26.6,691.12
2621,6,11457,229,3,57.84,3.03,64.4,32.8,604.74
2622,6,9493,267,5,63.04,2.86,61.9,37.7,833.14
2623,9,17291,269,7,54.69,3.18,51.0,37.5,1272.81
2624,7,9599,320,5,73.05,3.15,50.3,29.0,876.41
2625,6,13643,302,3,60.65,4.33,69.2,20.1,633.43
2626,7,12630,225,6,62.49,3.4,54.9,40.2,1052.1
2627,10,17014,259,6,48.96,3.38,42.9,34.8,1156.16
2628,10,18277,258,7,65.36,3.59,68.0,53.2,1226.87
2629,7,14096,240,4,71.88,3.44,30.0,35.4,813.72
2630,8,13140,236,6,57.72,2.78,73.9,39.0,1104.5
2631,8,15225,228,4,53.69,3.97,52.8,42.7,900.27
2632,7,16016,293,4,58.62,4.32,55.1,31.1,987.98
2633,9,14509,218,5,56.14,4.58,56.0,41.8,860.11
2634,9,19153,237,7,61.73,4.22,71.0,32.8,1251.76
2635,11,19044,149,7,53.29,3.79,57.1,35.6,1278.41
2636,11,17905,247,8,62.0,4.11,54.7,34.7,1420.07
2637,9,15040,252,5,75.18,4.99,43.6,34.1,1035.7
2638,9,16135,182,6,63.08,4.04,46.4,54.5,1102.21
2639,10,14827,196,7,46.27,3.6,62.7,32.8,1133.45
2640,9,16027,223,7,61.19,5.35,57.7,42.9,1147.85
2641,11,18791,206,6,74.64,3.82,75.2,40.2,1217.29
2642,10,16508,216,7,69.54,3.61,45.2,30.9,1162.44
2643,9,18267,187,5,54.11,4.68,41.2,44.3,849.78
2644,9,16907,249,7,59.65,4.78,58.6,34.0,1169.63
2645,12,20016,170,10,64.37,4.88,54.0,40.4,1535.46
2646,10,18172,268,4,55.81,5.14,40.6,48.7,803.78
2647,13,23018,219,8,63.44,4.74,48.8,43.9,1673.89
2648,10,19130,203,7,60.05,4.83,63.5,41.8,1185.32
2649,11,19259,144,7,70.86,4.66,39.2,41.8,1318.28
2650,15,25388,200,10,51.24,5.07,41.3,49.2,1717.49
2651,10,19259,188,7,75.32,5.35,46.3,29.4,1302.92
2652,8,15316,103,6,37.98,5.58,46.5,42.9,1013.75
2653,13,22682,122,8,52.36,4.73,64.5,47.8,1559.02
2654,10,20474,173,6,50.0,4.6,48.3,46.5,1087.72
2655,12,22953,156,7,57.66,5.72,74.6,44.9,1273.2
2656,11,20640,142,7,51.75,5.06,42.5,50.4,1264.8
2657,12,23335,186,9,57.88,4.91,59.4,45.2,1560.44
2658,10,18540,125,7,64.93,4.52,54.5,51.0,1262.85
2659,12,21122,134,8,62.65,6.23,55.0,36.8,1370.53
2660,13,23458,126,8,56.6,5.71,30.0,39.7,1390.15
2661,11,23906,155,7,66.13,5.97,41.8,56.3,1138.64
2662,11,21995,85,7,62.36,5.97,53.0,48.6,1221.26
2663,12,22672,118,8,49.99,5.93,31.4,58.9,1270.79
2664,11,24336,78,9,53.04,5.89,30.0,46.9,1392.01
2665,12,22880,118,10,55.59,5.91,40.2,41.8,1655.72
2666,13,27997,145,8,73.19,5.54,59.0,60.9,1538.41
2667,13,23968,144,10,53.32,5.19,60.7,31.5,1686.16
2668,13,23442,94,10,63.28,7.32,40.3,52.4,1919.19
2669,14,26045,128,10,51.34,6.29,52.6,27.7,1790.35
2670,13,24856,103,11,58.43,6.13,60.1,58.0,1860.35
2671,15,26643,143,10,68.11,6.07,70.9,41.8,1686.82
2672,15,31848,96,11,53.33,9.05,70.4,47.6,1978.16
2673,2,2878,276,1,56.65,1.07,65.9,16.3,257.64
2674,4,5586,365,2,63.87,0.62,48.5,32.7,305.22
2675,3,3087,346,2,55.58,0.95,54.4,24.5,363.94
2676,4,4203,350,2,52.09,1.31,55.9,39.1,552.99
2677,6,9098,365,4,51.51,1.01,52.4,26.7,746.12
2678,4,2736,310,1,51.95,1.66,38.5,18.6,365.0
2679,1,500,353,0,50.7,2.36,72.3,18.2,50.0
2680,4,5059,364,2,53.62,1.14,60.2,41.1,224.48
2681,6,9947,357,3,49.23,1.26,65.4,40.3,648.12
2682,4,5048,325,3,55.51,1.04,62.9,37.3,504.22
2683,5,7524,365,2,73.01,1.42,49.8,25.6,464.13
2684,3,4677,307,2,49.29,0.59,37.0,15.4,364.75
2685,2,5469,316,2,49.16,2.17,64.0,35.4,241.44
2686,5,4838,329,2,53.24,1.01,63.2,19.0,446.36
2687,2,4809,339,3,52.76,1.32,58.5,24.0,376.52
2688,4,5897,318,3,72.89,1.82,80.8,22.7,417.04
2689,7,11272,362,4,73.01,2.51,48.2,34.6,838.26
2690,2,2746,332,1,54.57,1.45,51.2,10.3,115.48
2691,3,5302,323,2,49.8,1.83,57.5,32.8,345.19
2692,3,5201,326,0,68.08,2.12,49.0,37.0,50.0
2693,5,6341,338,2,46.05,1.69,52.2,38.4,584.6
2694,5,6014,321,4,46.78,2.01,67.4,21.1,728.97
2695,7,9599,256,2,69.04,1.35,47.2,37.5,420.55
2696,7,10800,339,3,48.23,1.96,48.0,32.6,640.58
2697,6,8360,307,3,65.85,2.89,61.9,32.0,602.43
2698,6,9090,322,7,36.09,2.73,39.2,45.3,1090.71
2699,6,6846,287,4,55.87,2.15,54.0,28.5,658.13
2700,5,8009,242,4,81.03,1.92,53.4,35.4,612.66
2701,7,12590,226,3,50.63,2.37,62.5,20.0,787.92
2702,4,8603,263,3,64.13,1.79,64.6,28.6,430.37
2703,7,11105,305,3,51.04,2.48,53.1,41.4,535.68
2704,8,12890,326,4,66.64,2.42,54.0,34.8,617.41
2705,7,10218,292,5,57.52,2.48,54.6,38.9,854.63
2706,6,12832,248,2,83.44,2.7,51.3,25.5,351.03
2707,7,14787,254,5,58.41,3.09,70.5,30.3,1099.79
2708,3,7267,315,3,47.74,2.38,61.0,24.9,343.84
2709,7,15841,231,4,42.58,3.45,70.2,29.7,683.1
2710,7,11025,331,4,56.22,3.59,44.5,41.2,977.28
2711,7,10258,322,4,57.64,4.17,70.0,42.7,867.95
2712,8,12361,327,5,65.5,3.27,56.4,41.2,737.22
2713,7,11986,272,4,68.16,3.91,63.2,13.7,761.07
2714,6,14808,244,5,43.46,3.79,32.1,29.5,863.67
2715,8,13453,262,5,74.2,3.47,74.5,42.7,821.29
2716,8,12721,275,7,54.39,2.84,60.3,34.7,1221.31
2717,8,12797,224,7,65.22,3.97,77.4,34.2,1017.45
2718,8,15945,208,6,64.25,3.69,68.3,43.5,868.76
2719,10,18266,229,6,61.5,4.54,30.4,47.9,1214.57
2720,7,12532,212,4,48.59,4.07,73.3,38.8,816.53
2721,9,12936,270,6,53.49,4.28,57.2,26.1,1263.43
2722,11,16547,212,7,60.17,3.51,62.7,33.0,1268.52
2723,6,14957,230,4,54.59,4.0,61.5,35.1,875.07
2724,9,17098,254,6,58.84,2.96,53.8,21.4,1023.05
2725,8,15053,261,6,60.33,4.25,50.1,49.1,1153.92
2726,9,19093,225,6,44.22,4.66,63.5,39.1,1265.65
2727,8,18117,228,5,61.2,4.8,45.0,30.4,827.54
2728,9,16461,182,6,56.87,4.0,55.3,33.7,900.07
2729,12,20179,241,7,46.93,3.32,71.8,53.7,1341.19
2730,8,14622,246,5,65.7,4.01,40.4,25.9,938.72
2731,8,15158,149,6,65.5,4.29,52.6,20.6,1023.22
2732,8,13446,256,5,53.15,4.58,69.0,28.1,1015.81
2733,12,18374,178,7,62.14,3.44,45.2,46.4,1206.69
2734,9,14516,215,7,63.71,4.45,32.1,50.8,1186.89
2735,10,20017,197,6,48.4,4.03,31.2,49.7,1041.77
2736,10,16273,187,9,55.45,5.4,49.4,36.5,1642.09
2737,9,20430,180,7,63.19,3.56,75.2,40.3,1276.53
2738,10,17744,153,6,65.0,5.31,45.8,42.8,1048.22
2739,14,26381,195,10,60.3,4.8,51.5,49.8,1763.66
2740,13,22162,167,8,49.18,3.93,55.6,30.2,1461.86
2741,10,16851,134,9,56.85,5.84,68.3,37.5,1347.32
2742,12,23616,140,8,65.19,5.73,65.3,50.3,1598.08
2743,10,21483,129,8,72.88,5.72,53.2,54.9,1316.32
2744,9,16911,150,7,69.38,5.2,62.2,41.2,1508.01
2745,13,22663,178,9,52.13,4.86,67.7,54.7,1602.92
2746,13,21891,140,8,61.95,5.28,35.3,53.1,1604.29
2747,13,23204,187,8,61.61,5.6,50.5,43.0,1482.45
2748,11,21237,151,8,48.32,5.1,40.6,31.3,1430.37
2749,12,21838,144,9,48.55,5.0,46.3,53.1,1518.0
2750,13,20927,151,8,52.9,7.72,62.8,60.8,1299.98
2751,13,22919,188,10,62.88,5.65,40.6,42.6,1886.68
2752,12,23870,99,9,63.79,6.14,82.7,53.5,1498.59
2753,10,20192,188,7,55.93,6.49,62.9,41.2,1386.23
2754,13,23749,163,8,48.82,6.23,48.0,35.0,1688.98
2755,14,24134,132,11,53.94,5.27,53.4,48.4,1814.12
2756,11,21240,162,9,55.98,5.97,39.5,37.5,1435.33
2757,14,27958,114,11,59.54,6.22,37.3,51.5,1821.58
2758,14,24225,130,9,56.54,6.48,50.4,51.2,1448.86
2759,14,27106,103,10,61.66,6.55,70.7,42.8,1794.41
2760,15,27431,144,10,59.62,6.17,38.1,39.5,1929.34
2761,12,24217,92,8,53.4,6.0,69.8,40.3,1345.19
2762,11,21641,109,8,66.91,8.8,52.8,54.4,1446.81
2763,13,24702,129,10,59.49,6.54,57.9,36.6,1697.22
2764,15,27711,137,12,64.14,6.54,55.9,55.8,2017.86
2765,2,1619,340,1,71.01,0.65,64.3,28.8,197.94
2766,2,3032,365,0,69.49,2.12,68.2,19.6,113.06
2767,1,2156,328,2,49.39,1.27,52.4,15.3,216.06
2768,6,10864,290,5,33.85,1.18,61.1,36.8,841.03
2769,5,6912,329,3,54.94,1.4,70.6,29.8,499.72
2770,5,3717,365,4,57.5,1.26,64.8,26.0,692.66
2771,5,8465,345,3,65.84,0.76,50.0,33.8,467.98
2772,5,6504,327,2,57.36,1.6,52.7,43.0,530.79
2773,4,8718,343,1,64.82,0.77,43.2,37.9,244.99
2774,4,7996,339,1,45.37,1.6,76.8,29.0,154.91
2775,4,5122,355,2,58.91,0.8,58.7,5.0,378.4
2776,8,11853,285,4,67.53,0.57,38.2,34.1,792.48
2777,5,6369,328,2,67.93,2.01,44.9,22.0,390.93
2778,4,6154,333,2,61.57,1.2,53.2,26.4,238.71
2779,5,8454,286,4,67.19,2.02,71.1,27.2,666.9
2780,3,6800,283,1,67.45,1.93,52.7,23.5,256.13
2781,7,11363,311,3,54.6,1.97,62.2,42.6,682.15
2782,4,6667,318,2,53.27,1.66,46.4,26.2,501.26
2783,6,12770,316,4,51.61,1.96,62.7,29.8,769.98
2784,7,9832,296,4,51.36,1.77,70.6,37.8,792.87
2785,6,6904,291,4,76.84,2.65,64.5,23.5,776.81
2786,6,7283,294,5,48.4,1.98,30.0,29.3,783.25
2787,6,11706,313,6,49.53,2.15,53.2,21.0,1053.32
2788,6,9515,338,4,64.36,2.72,42.3,37.0,712.25
2789,5,8804,230,4,66.42,2.11,63.1,31.9,660.91
2790,5,7841,313,2,57.0,1.58,55.8,46.5,315.25
2791,8,11801,285,5,67.64,2.07,75.5,22.9,964.15
2792,6,8989,302,4,58.76,3.18,51.0,39.8,753.66
2793,5,9902,315,4,51.99,2.82,55.9,16.0,754.34
2794,6,10339,255,4,42.67,2.97,53.5,24.0,581.48
2795,8,13628,303,5,62.17,3.02,63.6,18.8,991.85
2796,8,13574,235,6,68.95,3.82,43.3,36.6,1022.17
2797,8,12561,273,7,52.7,1.96,43.0,38.2,1070.35
2798,7,9902,259,6,62.89,2.99,48.2,31.4,953.75
2799,8,11106,264,6,56.76,3.14,62.0,18.5,958.33
2800,6,15655,231,5,58.12,3.16,67.5,27.7,872.91
2801,7,14622,271,4,62.36,3.62,53.9,35.0,716.45
2802,9,16950,302,6,47.96,3.71,62.1,30.7,1071.73
2803,9,14063,222,5,72.9,3.27,61.1,37.8,913.28
2804,6,11624,253,4,66.84,2.61,54.3,40.6,707.37
2805,7,11677,271,7,49.14,4.75,54.0,29.4,1006.33
2806,8,12222,234,6,61.41,3.55,64.2,27.3,839.05
2807,11,16997,281,7,57.34,3.64,78.0,41.4,1545.96
2808,5,12759,225,4,65.46,4.28,66.9,44.5,683.68
2809,9,16966,231,6,58.9,3.53,69.4,42.0,1375.08
2810,6,10740,202,2,54.19,4.42,79.5,19.9,472.41
2811,8,14213,233,4,58.21,3.67,46.6,46.8,796.88
2812,8,15899,227,6,44.11,4.79,63.4,32.7,1010.51
2813,8,14009,244,5,61.81,4.15,72.5,34.1,975.89
2814,8,15119,202,5,48.96,3.66,66.3,25.7,929.54
2815,9,16893,198,5,69.27,5.14,47.8,39.2,825.05
2816,8,15766,230,5,48.73,4.4,45.4,20.4,813.8
2817,7,14496,255,5,70.87,3.87,74.6,25.0,757.88
2818,11,18024,229,8,60.57,3.52,60.0,46.9,1410.06
2819,11,18269,263,8,54.5,4.62,58.7,43.0,1414.62
2820,11,17485,222,6,70.78,5.02,55.2,36.0,1169.91
2821,7,12133,219,5,67.17,4.57,73.1,32.4,807.2
2822,10,17993,221,5,54.23,4.59,66.7,45.6,877.56
2823,11,20724,242,7,50.33,5.28,52.8,45.1,1392.57
2824,9,15120,232,7,83.48,4.85,65.9,43.3,1218.95
2825,10,18934,158,7,60.92,4.3,57.1,30.5,1296.38
2826,10,19837,211,8,52.6,4.39,65.5,34.3,1454.1
2827,13,19595,193,9,62.99,5.03,71.3,61.5,1393.6
2828,14,23279,176,9,62.3,5.08,69.8,44.8,1644.53
2829,8,19044,126,6,37.02,5.42,34.3,32.3,1150.08
2830,15,25938,129,9,47.52,5.13,61.2,51.0,1554.77
2831,10,16394,162,6,55.95,5.34,72.7,41.8,1005.12
2832,13,23923,125,7,66.05,5.25,46.4,38.0,1242.97
2833,13,21948,155,10,65.23,5.63,78.9,26.1,1565.09
2834,10,20642,184,9,55.08,5.6,62.4,37.4,1535.52
2835,12,21060,142,7,49.11,5.15,66.5,43.8,1336.62
2836,11,20905,160,8,66.38,5.23,66.5,27.8,1272.59
2837,13,22669,123,7,59.69,5.54,38.9,48.1,1173.95
2838,12,22415,160,7,58.89,5.51,66.9,46.7,1231.41
2839,14,24049,164,10,60.45,6.16,60.9,55.8,1864.4
2840,12,22255,104,8,58.35,5.66,49.6,35.2,1318.88
2841,12,20962,120,6,56.13,4.91,74.5,46.9,1020.86
2842,14,26086,99,11,46.47,5.16,32.3,52.4,1859.5
2843,13,24503,150,9,61.89,5.68,47.6,57.8,1471.13
2844,14,23105,137,8,58.33,6.21,72.4,54.8,1680.53
2845,12,24709,128,9,49.49,5.54,67.1,52.4,1565.45
2846,11,21846,124,8,78.17,6.28,48.5,43.2,1351.98
2847,12,23643,135,9,61.98,5.62,46.5,40.4,1513.53
2848,12,24637,133,8,68.98,6.13,53.1,54.2,1370.18
2849,14,26472,105,10,70.8,6.31,59.7,37.8,1700.06
2850,15,29063,98,11,48.92,5.6,50.9,62.2,2151.0
2851,13,24565,112,8,59.52,6.42,55.2,52.3,1565.42
2852,15,29047,106,9,63.22,7.08,57.3,47.3,1647.42
2853,15,27769,171,11,70.16,6.23,52.3,37.3,1930.76
2854,14,27281,94,9,65.47,6.44,51.1,47.4,1554.17
2855,13,26060,111,9,64.27,6.6,42.4,40.9,1689.25
2856,15,29806,114,10,63.04,6.57,56.2,37.3,1451.22
2857,14,27917,139,9,66.83,6.59,56.0,43.4,1567.9
2858,15,27596,67,10,53.65,6.67,45.3,57.2,1677.5
2859,14,26233,128,9,73.3,7.99,59.9,47.9,1713.13
2860,13,26010,81,10,65.78,7.05,70.7,44.1,1701.51
2861,13,25035,158,10,63.14,6.34,57.3,33.5,1526.23
