UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF,Machine_Age_Years,Operating_Hours,Days_Since_Last_Maintenance,Maintenance_Count_Last_Year,Energy_Consumption_kWh,Vibration_Level_mm_s,Humidity_Percent,Ambient_Dust_Level_ug_m3,Maintenance_Cost_USD
923,M15782,M,295.5,305.9,1380,52.4,202,0,0,0,0,0,0,13,24197,70,10,66.71,5.24,63.8,38.1,1608.96
924,M15783,M,295.5,306.0,1423,45.3,205,0,0,0,0,0,0,12,22146,127,7,56.97,6.42,64.5,31.1,1314.18
925,L48104,L,295.5,306.0,1800,27.6,208,0,0,0,0,0,0,13,27623,83,10,61.8,5.63,54.6,48.3,1587.52
926,H30339,H,295.6,306.1,1623,30.9,210,0,0,0,0,0,0,15,28398,62,10,54.08,6.06,32.9,39.8,1836.61
927,L48106,L,295.6,306.1,1372,55.6,215,1,0,0,0,1,0,13,25786,106,10,67.27,8.76,65.8,35.7,1699.24
928,H30341,H,295.6,306.0,1396,52.4,0,0,0,0,0,0,0,4,4181,365,1,64.18,0.51,42.7,19.6,332.45
929,L48108,L,295.6,306.0,1949,21.9,5,0,0,0,0,0,0,3,3882,303,1,49.25,1.84,50.7,27.0,168.58
930,L48109,L,295.6,306.0,1419,51.1,7,0,0,0,0,0,0,3,4162,335,2,56.44,1.3,48.1,32.0,176.08
931,M15790,M,295.5,305.9,1453,47.3,9,0,0,0,0,0,0,3,4605,352,2,69.63,1.46,37.7,23.4,487.65
932,L48111,L,295.5,305.9,1542,36.2,12,0,0,0,0,0,0,4,6442,340,3,53.14,1.84,55.1,18.1,609.95
933,L48112,L,295.6,306.0,1363,50.0,14,0,0,0,0,0,0,5,5456,338,2,67.39,1.8,57.4,20.7,534.31
934,L48113,L,295.5,306.0,1597,37.2,16,0,0,0,0,0,0,6,5720,365,2,59.61,1.8,56.4,19.2,568.9
935,M15794,M,295.5,306.0,1326,50.8,18,0,0,0,0,0,0,4,5736,365,1,70.44,1.12,52.5,33.4,289.95
936,M15795,M,295.5,306.0,1641,36.6,21,0,0,0,0,0,0,5,4324,330,2,60.02,0.97,46.1,22.4,501.15
937,M15796,M,295.6,306.1,1418,46.2,24,0,0,0,0,0,0,2,2995,297,3,66.57,1.46,72.6,25.5,349.35
938,L48117,L,295.6,306.2,1263,61.8,27,0,0,0,0,0,0,4,5251,326,4,79.66,1.91,57.2,13.2,598.31
939,L48118,L,295.6,306.2,1823,25.8,29,0,0,0,0,0,0,6,9243,336,2,48.91,1.08,43.8,41.8,593.53
940,L48119,L,295.5,306.1,1488,40.7,31,0,0,0,0,0,0,6,11569,326,5,69.71,2.07,60.3,31.5,1042.98
941,L48120,L,295.6,306.2,1443,48.9,33,0,0,0,0,0,0,5,4568,344,4,67.42,2.01,59.4,17.1,712.83
942,L48121,L,295.6,306.2,1650,28.2,35,0,0,0,0,0,0,6,12186,365,2,49.99,1.78,62.4,26.8,149.32
943,M15802,M,295.7,306.3,1462,44.3,37,0,0,0,0,0,0,6,8515,269,2,57.59,1.96,54.6,33.1,515.53
944,M15803,M,295.6,306.2,1477,45.0,40,0,0,0,0,0,0,7,10722,302,2,61.62,2.03,47.5,26.5,661.88
945,M15804,M,295.7,306.3,1712,28.5,43,0,0,0,0,0,0,6,7013,360,3,53.34,2.3,38.6,34.5,569.61
946,M15805,M,295.7,306.3,1347,50.4,46,0,0,0,0,0,0,5,9565,294,3,66.04,2.52,48.6,39.9,459.6
947,L48126,L,295.6,306.2,1287,54.8,49,0,0,0,0,0,0,6,9467,330,4,77.76,3.66,35.1,38.9,816.09
948,L48127,L,295.6,306.2,1428,44.5,51,0,0,0,0,0,0,1,3403,323,0,59.52,2.36,58.6,21.4,50.0
949,M15808,M,295.6,306.3,1426,45.5,53,0,0,0,0,0,0,6,6679,339,2,65.74,2.0,35.7,43.0,443.83
950,L48129,L,295.6,306.3,1636,32.7,56,0,0,0,0,0,0,1,3831,355,1,48.34,1.45,50.7,23.2,50.0
951,L48130,L,295.6,306.2,1424,42.5,58,0,0,0,0,0,0,3,7479,305,3,70.53,1.75,63.7,24.6,315.01
952,H30365,H,295.6,306.3,1509,35.8,60,0,0,0,0,0,0,7,10746,241,2,48.89,2.12,52.1,32.8,603.6
953,L48132,L,295.5,306.2,1448,48.9,65,0,0,0,0,0,0,7,13086,266,3,76.1,2.97,54.3,34.3,516.36
954,L48133,L,295.5,306.1,1650,32.8,67,0,0,0,0,0,0,5,10714,350,4,53.59,2.48,60.3,33.1,856.88
955,H30368,H,295.6,306.2,1414,42.5,69,0,0,0,0,0,0,5,8143,240,2,48.29,2.93,61.2,22.4,639.42
956,L48135,L,295.6,306.3,1911,20.9,74,0,0,0,0,0,0,9,16523,291,5,54.24,2.48,67.5,46.7,855.63
957,H30370,H,295.6,306.2,1632,32.2,76,0,0,0,0,0,0,6,10688,198,3,53.87,3.13,61.8,42.0,530.95
958,M15817,M,295.7,306.4,1387,40.1,81,0,0,0,0,0,0,10,15720,227,7,54.63,3.46,59.3,59.4,1310.5
959,L48138,L,295.8,306.4,1399,47.6,84,0,0,0,0,0,0,7,12328,291,3,67.03,2.9,31.5,19.9,792.71
960,L48139,L,295.8,306.5,1505,35.2,86,0,0,0,0,0,0,8,13574,263,5,57.58,3.37,57.9,35.9,936.89
961,L48140,L,295.8,306.5,1534,37.9,88,0,0,0,0,0,0,10,12015,248,7,59.19,2.98,74.9,33.2,1174.88
962,L48141,L,295.8,306.5,1493,40.5,90,0,0,0,0,0,0,8,13372,233,6,64.52,2.63,62.8,40.8,1001.35
963,M15822,M,295.8,306.6,1480,43.2,92,0,0,0,0,0,0,6,9294,195,4,62.34,3.58,66.6,41.4,731.21
964,L48143,L,295.8,306.6,1621,31.6,95,0,0,0,0,0,0,8,16315,272,4,56.0,3.58,46.9,35.9,746.23
965,L48144,L,295.7,306.5,1737,26.2,97,0,0,0,0,0,0,8,16344,240,5,47.03,3.72,54.2,33.2,1041.96
966,L48145,L,295.8,306.6,1508,46.5,99,0,0,0,0,0,0,6,12933,201,3,68.3,3.95,61.8,27.8,530.62
967,M15826,M,295.8,306.5,1641,32.2,101,0,0,0,0,0,0,8,13787,245,5,51.01,3.4,60.3,34.1,965.91
968,M15827,M,295.9,306.6,1532,38.6,104,0,0,0,0,0,0,7,11568,258,5,52.1,3.51,64.5,36.7,956.19
969,L48148,L,295.9,306.7,1547,40.9,107,0,0,0,0,0,0,10,15829,231,6,58.98,3.53,41.4,42.6,1120.99
970,L48149,L,295.9,306.6,1412,41.0,109,0,0,0,0,0,0,9,18619,238,7,56.7,3.9,45.5,49.7,1177.38
971,L48150,L,295.8,306.5,1568,35.1,111,0,0,0,0,0,0,8,13557,233,4,59.75,3.71,39.5,34.4,797.58
972,L48151,L,295.9,306.6,1557,41.1,113,0,0,0,0,0,0,8,11152,208,4,53.08,3.89,58.1,43.0,712.88
973,L48152,L,295.8,306.6,1644,35.2,115,0,0,0,0,0,0,9,17520,229,5,61.81,3.51,52.8,30.7,1037.48
974,L48153,L,295.9,306.6,1679,30.4,117,0,0,0,0,0,0,10,19516,247,7,49.43,3.41,52.7,29.7,1226.93
975,L48154,L,296.0,306.6,1511,35.2,119,0,0,0,0,0,0,7,16244,253,5,42.02,3.52,46.8,41.9,854.83
976,M15835,M,296.0,306.6,1628,36.8,121,0,0,0,0,0,0,7,15403,244,5,51.5,4.23,44.9,37.1,770.46
977,M15836,M,296.0,306.6,1392,51.3,124,0,0,0,0,0,0,11,20582,196,6,65.51,4.08,55.0,37.7,1354.8
978,L48157,L,296.0,306.7,1917,21.0,127,0,0,0,0,0,0,9,16594,232,5,49.88,3.93,68.3,30.5,1045.72
979,M15838,M,296.2,306.8,1526,42.3,129,0,0,0,0,0,0,7,11091,224,5,60.29,4.56,73.8,30.1,733.99
980,L48159,L,296.2,306.8,1389,53.3,132,0,0,0,0,0,0,10,17982,185,6,62.76,5.03,73.9,41.7,1176.53
981,L48160,L,296.1,306.7,1409,42.8,134,0,0,0,0,0,0,10,18962,190,8,55.76,4.1,49.4,41.2,1299.07
982,L48161,L,296.2,306.8,1655,31.1,136,0,0,0,0,0,0,8,15517,222,6,46.85,3.86,40.8,24.4,949.12
983,L48162,L,296.2,306.9,1516,39.1,138,0,0,0,0,0,0,10,17939,241,6,59.22,4.92,65.6,29.8,1046.81
984,L48163,L,296.2,306.9,1526,34.9,140,0,0,0,0,0,0,11,18054,143,8,53.85,4.51,70.3,43.0,1451.88
985,L48164,L,296.3,307.1,1419,48.6,142,0,0,0,0,0,0,11,18087,244,8,68.09,4.46,60.0,46.6,1385.6
986,L48165,L,296.4,307.2,1748,25.3,144,0,0,0,0,0,0,11,22437,227,6,40.14,5.11,54.7,35.6,1154.94
987,H30400,H,296.4,307.1,1638,32.5,146,0,0,0,0,0,0,8,18982,196,3,51.15,4.52,47.5,24.6,708.36
988,M15847,M,296.3,307.1,1534,33.8,151,0,0,0,0,0,0,11,19991,177,6,63.57,4.97,62.3,42.2,1253.89
989,H30402,H,296.3,307.1,1774,25.9,154,0,0,0,0,0,0,10,19352,192,8,53.13,4.93,61.9,22.3,1591.18
990,M15849,M,296.2,307.0,2119,18.3,159,0,0,0,0,0,0,10,17684,155,8,46.77,6.6,58.4,36.9,1333.66
991,L48170,L,296.2,307.0,1414,48.3,162,0,0,0,0,0,0,12,22654,165,6,59.74,4.98,41.7,48.7,1157.51
992,M15851,M,296.1,307.0,1523,42.0,164,0,0,0,0,0,0,13,25619,124,9,66.18,5.57,43.1,44.0,1610.6
993,L48172,L,296.1,307.1,1651,35.7,167,0,0,0,0,0,0,14,22021,112,10,64.56,5.05,53.9,35.5,1830.5
994,M15853,M,296.1,307.1,1485,36.0,169,0,0,0,0,0,0,13,23901,232,10,48.93,5.45,67.5,58.0,1829.72
995,M15854,M,296.2,307.2,1168,63.4,172,0,0,0,0,0,0,11,21749,160,9,69.31,5.2,65.9,42.0,1420.46
996,L48175,L,296.3,307.3,1566,35.8,175,0,0,0,0,0,0,12,23066,161,10,57.1,5.77,50.2,45.7,1922.5
997,M15856,M,296.3,307.2,1286,51.1,177,0,0,0,0,0,0,13,26029,152,9,67.14,5.38,33.1,53.0,1482.17
998,M15857,M,296.3,307.2,1446,45.9,180,0,0,0,0,0,0,12,25554,124,9,65.41,5.75,71.0,42.5,1649.12
999,M15858,M,296.4,307.2,2071,19.4,183,0,0,0,0,0,0,12,22285,136,8,57.74,5.2,69.9,41.8,1515.14
1000,L48179,L,296.3,307.1,1560,33.2,186,0,0,0,0,0,0,14,26180,145,10,48.42,5.25,56.5,57.8,1619.85
1001,L48180,L,296.3,307.1,1654,29.6,188,0,0,0,0,0,0,12,22986,134,7,51.65,4.76,49.8,37.5,1346.94
1002,L48181,L,296.3,307.1,1662,32.9,190,0,0,0,0,0,0,11,20802,114,8,58.15,5.93,51.3,49.3,1225.38
1003,L48182,L,296.3,307.2,1646,35.0,192,0,0,0,0,0,0,12,23446,149,9,59.74,5.48,66.2,35.0,1477.07
1004,L48183,L,296.2,307.1,1444,46.7,194,0,0,0,0,0,0,14,26537,138,11,60.45,6.95,61.4,42.2,1873.3
1005,H30418,H,296.3,307.2,1424,42.0,196,0,0,0,0,0,0,13,24745,142,8,56.12,5.66,49.9,48.3,1494.16
1006,L48185,L,296.2,307.2,1382,52.0,201,0,0,0,0,0,0,14,24523,145,10,65.23,6.65,81.4,59.4,1884.5
1007,L48186,L,296.2,307.1,1413,53.4,203,0,0,0,0,0,0,14,25240,116,9,77.77,6.65,36.6,49.2,1570.76
1008,M15867,M,296.2,307.2,1633,31.1,0,0,0,0,0,0,0,2,1716,360,2,47.59,0.88,47.8,12.8,356.38
1009,L48188,L,296.2,307.1,1441,41.7,3,0,0,0,0,0,0,4,3671,365,1,57.52,0.71,48.0,33.7,372.58
1010,M15869,M,296.2,307.2,1385,44.0,5,0,0,0,0,0,0,4,5495,331,3,64.25,1.06,56.3,21.6,514.19
1011,M15870,M,296.2,307.2,1552,34.8,8,0,0,0,0,0,0,2,3387,299,1,49.16,1.77,68.6,29.1,199.46
1012,M15871,M,296.2,307.3,1451,42.8,11,0,0,0,0,0,0,6,9164,365,2,61.58,2.42,64.9,34.3,334.3
1013,M15872,M,296.1,307.1,1433,38.5,14,0,0,0,0,0,0,3,2944,329,2,46.65,0.73,56.5,14.0,198.22
1014,M15873,M,296.1,307.2,1619,29.7,17,0,0,0,0,0,0,1,1099,312,2,51.98,1.43,39.1,24.9,195.88
1015,L48194,L,296.2,307.2,1445,41.8,20,0,0,0,0,0,0,2,5632,365,0,59.56,1.2,66.5,14.1,219.2
1016,L48195,L,296.2,307.2,1356,43.6,22,0,0,0,0,0,0,3,4343,334,0,60.4,1.37,41.4,36.8,259.59
1017,M15876,M,296.3,307.2,1319,68.3,24,1,0,0,1,0,0,4,5925,298,3,76.91,4.45,50.2,15.4,644.83
1018,L48197,L,296.3,307.2,1637,31.6,27,0,0,0,0,0,0,4,5752,365,1,54.13,1.29,54.1,26.7,317.12
1019,L48198,L,296.3,307.2,1291,58.6,29,0,0,0,0,0,0,4,7805,282,4,71.91,0.92,45.3,20.4,692.21
1020,L48199,L,296.3,307.3,1398,52.7,31,0,0,0,0,0,0,5,9153,325,4,74.9,1.88,45.1,41.3,638.91
1021,L48200,L,296.3,307.3,1372,57.7,33,0,0,0,0,0,0,5,9155,269,4,75.7,2.01,65.6,17.6,642.75
1022,M15881,M,296.3,307.2,1454,42.5,35,0,0,0,0,0,0,5,7615,331,3,52.82,1.66,72.5,48.6,356.84
1023,L48202,L,296.2,307.2,1515,36.5,38,0,0,0,0,0,0,6,7601,300,5,51.41,1.61,54.1,29.1,860.95
1024,L48203,L,296.2,307.3,1881,24.3,40,0,0,0,0,0,0,6,11888,342,5,47.0,2.08,33.7,27.5,887.12
1025,L48204,L,296.2,307.3,1711,29.9,42,0,0,0,0,0,0,2,5574,314,1,53.48,1.38,58.4,30.2,138.34
1026,L48205,L,296.2,307.3,1475,37.0,44,0,0,0,0,0,0,5,7295,353,4,54.58,2.31,46.6,29.7,771.26
1027,L48206,L,296.4,307.4,1512,36.8,46,0,0,0,0,0,0,2,6606,297,1,54.93,1.98,59.3,17.2,322.86
1028,M15887,M,296.3,307.4,1335,50.5,48,0,0,0,0,0,0,5,7357,259,3,79.56,2.89,58.5,23.9,447.7
1029,L48208,L,296.3,307.4,1472,39.9,51,0,0,0,0,0,0,6,11611,311,2,55.43,2.43,32.4,28.0,711.0
1030,M15889,M,296.2,307.3,1477,35.2,53,0,0,0,0,0,0,7,13002,294,4,60.79,2.25,50.3,28.5,814.45
1031,L48210,L,296.3,307.4,1760,28.4,56,0,0,0,0,0,0,8,10738,243,4,51.22,2.29,62.4,42.5,955.12
1032,L48211,L,296.4,307.5,1549,36.1,58,0,0,0,0,0,0,6,10683,264,3,44.83,1.48,53.9,32.7,531.19
1033,L48212,L,296.3,307.4,1648,34.0,60,0,0,0,0,0,0,5,9873,271,3,56.28,2.44,41.8,33.7,705.09
1034,H30447,H,296.4,307.5,1556,38.0,62,0,0,0,0,0,0,7,15112,337,4,63.14,2.45,62.9,30.7,826.19
1035,M15894,M,296.3,307.4,1958,19.1,67,0,0,0,0,0,0,6,9102,306,4,49.73,2.7,35.0,37.2,690.67
1036,L48215,L,296.4,307.4,1403,48.4,70,0,0,0,0,0,0,6,12499,271,5,65.89,2.65,57.8,26.4,730.0
1037,M15896,M,296.4,307.5,1684,31.4,72,0,0,0,0,0,0,8,12866,293,4,53.64,3.51,48.5,28.6,801.01
1038,H30451,H,296.4,307.5,1596,35.1,75,0,0,0,0,0,0,6,8713,214,5,53.06,2.74,60.2,27.9,917.91
1039,L48218,L,296.6,307.6,1498,41.1,80,0,0,0,0,0,0,8,13020,252,5,63.94,2.58,52.3,47.4,927.69
1040,L48219,L,296.7,307.7,1524,36.8,82,0,0,0,0,0,0,8,13294,279,5,53.81,2.22,60.8,31.4,928.86
1041,L48220,L,296.7,307.7,1502,43.9,84,0,0,0,0,0,0,6,9392,269,4,58.84,2.88,71.3,27.8,671.25
1042,L48221,L,296.6,307.6,1809,25.1,86,0,0,0,0,0,0,9,15138,246,5,51.78,2.63,63.3,39.7,827.69
1043,L48222,L,296.6,307.6,1542,37.4,88,0,0,0,0,0,0,8,14997,258,6,55.29,2.55,63.1,35.0,1057.74
1044,L48223,L,296.5,307.6,1431,45.2,90,0,0,0,0,0,0,8,14007,267,6,68.55,3.09,62.0,27.3,947.01
1045,L48224,L,296.5,307.6,1512,43.6,92,0,0,0,0,0,0,6,10527,254,3,64.26,3.87,34.4,22.5,695.11
1046,H30459,H,296.4,307.5,1403,52.8,94,0,0,0,0,0,0,6,11207,278,3,64.68,3.82,56.0,38.0,684.02
1047,L48226,L,296.4,307.5,1331,47.8,99,0,0,0,0,0,0,7,12848,256,5,57.26,2.83,58.2,24.5,1046.95
1048,M15907,M,296.6,307.7,1474,52.6,101,0,0,0,0,0,0,9,15671,259,7,66.58,3.54,61.6,45.1,1162.27
1049,L48228,L,296.5,307.6,1607,33.5,104,0,0,0,0,0,0,7,14745,292,6,65.94,3.81,54.0,30.3,995.75
1050,L48229,L,296.5,307.6,1415,44.2,106,0,0,0,0,0,0,9,15978,263,7,59.82,3.94,63.6,19.4,1052.82
1051,L48230,L,296.6,307.6,1671,28.8,108,0,0,0,0,0,0,7,11156,288,5,54.78,4.5,43.5,39.2,824.5
1052,L48231,L,296.6,307.7,1556,37.7,110,0,0,0,0,0,0,8,13707,213,5,50.74,3.17,78.9,42.4,919.43
1053,L48232,L,296.7,307.7,1927,23.9,112,0,0,0,0,0,0,9,16089,183,6,45.0,3.36,61.7,42.7,1087.81
1054,M15913,M,296.7,307.7,1597,32.1,114,0,0,0,0,0,0,12,21216,224,6,51.9,3.52,44.0,40.3,1161.98
1055,H30468,H,296.8,307.8,1627,30.5,117,0,0,0,0,0,0,7,15612,218,4,60.36,4.11,71.3,31.2,697.37
1056,L48235,L,296.8,307.8,1480,39.4,122,0,0,0,0,0,0,11,21352,262,7,51.21,2.69,41.6,38.4,1304.36
1057,L48236,L,296.8,307.8,1565,39.5,124,0,0,0,0,0,0,9,16576,182,6,55.88,3.99,55.1,32.2,1050.12
1058,L48237,L,296.8,307.8,1573,36.4,126,0,0,0,0,0,0,10,18815,211,7,60.86,3.26,56.4,42.2,1371.06
1059,L48238,L,296.7,307.8,1605,31.3,128,0,0,0,0,0,0,10,15578,224,5,60.21,4.2,50.1,38.4,1025.24
1060,M15919,M,296.7,307.9,1874,21.3,130,0,0,0,0,0,0,10,18495,212,5,49.47,5.29,53.5,36.3,946.63
1061,H30474,H,296.7,307.9,1424,53.8,133,0,0,0,0,0,0,9,15172,200,7,73.16,4.78,55.8,32.3,1308.35
1062,L48241,L,296.7,307.9,1420,50.1,138,0,0,0,0,0,0,12,20516,210,7,61.91,3.84,42.1,45.2,1219.38
1063,L48242,L,296.8,307.9,1372,49.0,140,0,0,0,0,0,0,9,21645,229,6,58.07,4.29,58.3,48.1,1040.86
1064,M15923,M,296.8,307.8,1664,32.8,142,0,0,0,0,0,0,12,21245,241,8,48.75,4.11,55.0,45.0,1335.18
1065,M15924,M,296.8,307.9,1409,44.3,145,0,0,0,0,0,0,9,16029,192,5,56.64,5.27,78.3,27.2,934.59
1066,L48245,L,296.8,307.9,1718,25.2,148,0,0,0,0,0,0,10,19272,163,8,49.58,3.6,72.8,39.8,1497.32
1067,M15926,M,296.9,307.8,1544,40.3,150,0,0,0,0,0,0,9,16774,231,5,53.33,4.53,46.2,41.9,978.75
1068,L48247,L,296.9,307.8,1466,45.7,153,0,0,0,0,0,0,11,18644,149,7,64.37,4.48,53.3,47.7,1107.2
1069,L48248,L,296.8,307.8,1394,47.7,155,0,0,0,0,0,0,13,25730,233,8,62.26,4.29,46.7,50.1,1441.66
1070,M15929,M,296.9,307.8,1840,24.6,157,0,0,0,0,0,0,11,21865,217,8,46.93,5.75,51.9,43.1,1426.67
1071,M15930,M,296.9,307.8,1477,37.2,160,0,0,0,0,0,0,11,20918,218,7,60.06,4.22,65.3,63.7,1309.06
1072,L48251,L,296.9,307.8,1425,49.1,163,0,0,0,0,0,0,9,17547,190,7,60.77,4.48,53.8,28.5,1182.56
1073,M15932,M,297.0,307.9,1414,46.2,165,0,0,0,0,0,0,11,20159,104,9,69.97,5.92,49.0,53.9,1596.92
1074,L48253,L,297.0,307.8,1414,47.5,168,0,0,0,0,0,0,9,20674,132,6,68.11,5.15,62.3,42.4,1138.58
1075,L48254,L,297.0,307.9,1595,31.7,170,0,0,0,0,0,0,10,20110,170,6,47.5,5.16,31.8,58.4,1104.83
1076,H30489,H,296.9,307.8,1345,54.5,172,0,0,0,0,0,0,12,17516,138,8,75.24,4.99,50.4,32.4,1463.73
1077,L48256,L,296.9,307.7,1653,35.9,177,0,0,0,0,0,0,14,28396,143,11,51.56,5.42,71.4,60.3,1865.94
1078,L48257,L,296.8,307.6,1547,36.5,179,0,0,0,0,0,0,15,26330,169,10,62.52,5.26,72.0,63.1,1805.62
1079,H30492,H,296.9,307.7,1656,30.8,181,0,0,0,0,0,0,11,21860,143,9,54.22,5.16,70.7,40.7,1539.07
1080,L48259,L,297.0,307.7,1731,28.5,186,0,0,0,0,0,0,14,26800,105,9,43.72,4.95,40.2,41.2,1741.61
1081,L48260,L,297.0,307.8,1774,28.0,188,0,0,0,0,0,0,13,24758,166,10,45.33,5.72,40.1,63.0,1767.24
1082,L48261,L,297.0,307.8,1521,40.2,190,0,0,0,0,0,0,12,24070,152,9,56.97,5.45,49.1,37.4,1560.32
1083,H30496,H,297.1,307.9,1420,39.8,192,0,0,0,0,0,0,13,23604,127,9,61.46,5.57,55.2,54.4,1559.54
1084,L48263,L,297.0,307.8,1683,32.3,197,0,0,0,0,0,0,13,22620,150,8,53.46,6.25,46.2,58.0,1546.31
1085,M15944,M,297.0,307.7,1498,47.1,199,0,0,0,0,0,0,13,24975,129,7,63.88,5.72,34.8,44.7,1391.75
1086,L48265,L,297.0,307.8,1385,56.4,202,1,0,0,0,1,0,12,25637,163,10,71.74,8.0,66.1,42.7,1670.4
1087,L48266,L,297.0,307.9,1455,49.0,204,0,0,0,0,0,0,11,21408,125,9,55.95,6.94,64.1,56.1,1489.55
1088,H30501,H,296.9,307.8,1549,35.8,206,1,1,0,0,0,0,11,21378,158,10,59.58,8.34,47.9,39.5,1646.56
1089,M15948,M,296.9,307.8,1392,43.9,0,0,0,0,0,0,0,4,6632,309,1,67.09,0.73,63.5,23.5,213.27
1090,M15949,M,296.9,307.7,2008,17.5,3,0,0,0,0,0,0,3,3049,365,2,49.82,0.53,66.3,5.0,215.78
1091,L48270,L,296.9,307.7,1464,41.4,6,0,0,0,0,0,0,2,2054,346,0,57.1,1.08,30.0,33.0,237.36
1092,L48271,L,297.0,307.7,1447,46.4,8,0,0,0,0,0,0,3,3400,330,1,59.04,1.59,62.7,23.0,400.19
1093,M15952,M,296.9,307.6,1685,32.0,10,0,0,0,0,0,0,5,6353,365,2,48.67,0.95,54.3,36.3,455.08
1094,M15953,M,296.8,307.5,1443,39.2,13,0,0,0,0,0,0,4,3025,365,3,51.26,1.3,30.0,26.8,573.96
1095,L48274,L,296.9,307.5,1354,44.4,16,0,0,0,0,0,0,3,3511,286,1,71.59,1.09,67.2,36.7,218.63
1096,L48275,L,296.9,307.5,2721,9.3,18,1,0,0,1,0,0,6,8356,365,3,48.79,3.25,56.0,43.0,652.33
1097,L48276,L,297.0,307.6,1680,35.8,20,0,0,0,0,0,0,6,8435,359,4,61.94,0.86,35.8,24.0,732.48
1098,H30511,H,296.9,307.5,1397,48.3,22,0,0,0,0,0,0,5,8727,317,4,68.67,1.66,59.8,26.3,701.12
1099,M15958,M,296.9,307.4,1521,37.9,27,0,0,0,0,0,0,6,11174,308,4,57.64,1.72,57.2,36.6,623.6
1100,M15959,M,296.8,307.4,1472,43.9,30,0,0,0,0,0,0,6,10819,281,4,56.93,2.46,61.5,43.3,900.35
1101,H30514,H,296.8,307.5,1695,30.0,33,0,0,0,0,0,0,6,10057,315,3,55.02,1.85,31.8,32.9,491.21
1102,H30515,H,296.7,307.5,1607,33.6,38,0,0,0,0,0,0,6,8687,314,3,48.93,1.56,51.4,33.7,686.25
1103,L48282,L,296.8,307.5,1347,54.8,43,0,0,0,0,0,0,6,8200,337,4,72.54,2.77,43.2,34.8,642.26
1104,M15963,M,296.7,307.4,1540,38.7,45,0,0,0,0,0,0,6,9252,319,3,52.75,2.27,53.0,25.0,405.41
1105,L48284,L,296.6,307.4,1389,42.7,48,0,0,0,0,0,0,4,7838,276,3,57.08,2.26,34.6,24.4,616.87
1106,M15965,M,296.6,307.5,1734,27.0,50,0,0,0,0,0,0,7,11883,312,3,48.12,2.21,41.6,32.5,659.27
1107,L48286,L,296.7,307.6,1540,38.6,53,0,0,0,0,0,0,4,8120,294,3,64.83,2.37,73.5,36.0,386.44
1108,M15967,M,296.7,307.5,1515,42.1,55,0,0,0,0,0,0,5,8293,271,2,48.44,1.91,68.9,44.4,509.31
1109,L48288,L,296.6,307.4,1504,45.8,58,0,0,0,0,0,0,8,13390,248,4,75.43,2.37,66.7,28.7,767.09
1110,L48289,L,296.6,307.5,1557,35.1,60,0,0,0,0,0,0,7,12991,312,4,50.92,2.35,72.6,39.8,945.33
1111,L48290,L,296.5,307.4,1292,52.5,62,0,0,0,0,0,0,8,13710,304,4,66.01,2.69,32.6,37.7,662.47
1112,H30525,H,296.5,307.4,1432,49.2,64,0,0,0,0,0,0,6,10032,305,4,67.83,3.12,54.3,28.0,660.14
1113,M15972,M,296.5,307.4,1350,55.6,69,0,0,0,0,0,0,5,7854,260,1,71.93,3.17,57.9,22.3,405.49
1114,M15973,M,296.6,307.4,1790,25.8,72,0,0,0,0,0,0,6,9154,284,2,54.29,3.02,50.4,33.8,440.73
1115,H30528,H,296.4,307.3,1540,37.4,75,0,0,0,0,0,0,7,10753,234,5,59.81,1.98,32.7,29.3,801.73
1116,M15975,M,296.4,307.3,2077,19.1,80,0,0,0,0,0,0,7,12386,239,5,58.53,2.75,65.6,37.0,906.15
1117,L48296,L,296.4,307.3,1487,37.5,83,0,0,0,0,0,0,9,15315,266,5,59.71,2.13,62.4,30.0,1073.34
1118,L48297,L,296.5,307.4,1523,40.7,85,0,0,0,0,0,0,7,10103,271,6,58.89,3.63,47.6,25.2,998.23
1119,L48298,L,296.5,307.5,1443,41.8,87,0,0,0,0,0,0,8,12759,212,4,56.5,3.08,65.1,44.6,782.03
1120,L48299,L,296.5,307.5,1340,59.1,89,0,0,0,0,0,0,6,11570,226,4,70.4,3.12,56.5,33.6,647.53
1121,H30534,H,296.6,307.7,1654,31.0,91,0,0,0,0,0,0,8,12345,245,4,59.18,2.9,62.6,37.4,758.24
1122,L48301,L,296.6,307.6,1459,40.2,96,0,0,0,0,0,0,8,14571,279,7,66.84,4.0,44.0,32.0,1051.83
1123,L48302,L,296.5,307.6,1541,38.5,98,0,0,0,0,0,0,7,12349,223,5,62.79,3.47,57.9,40.1,1005.57
1124,H30537,H,296.6,307.7,1386,62.3,100,1,0,0,1,0,0,8,13015,249,5,61.04,5.41,58.0,34.5,994.12
1125,M15984,M,296.7,307.8,1258,69.0,105,1,0,0,1,0,0,8,14405,246,6,69.73,5.65,52.2,42.2,914.45
1126,M15985,M,296.7,307.8,1375,51.4,108,0,0,0,0,0,0,8,15048,228,3,66.85,3.77,30.0,32.4,626.12
1127,L48306,L,296.8,307.9,1706,30.8,111,0,0,0,0,0,0,11,16922,240,6,52.48,3.67,57.1,33.5,1237.99
